/home/bzhao/Deep-Learning/Assignment2/.venv/lib/python3.12/site-packages/albumentations/core/validation.py:114: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
/home/bzhao/Deep-Learning/Assignment2/src/datamodule_oxpet.py:68: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 20.0), p=1.0),
IMPROVEMENT 1: Using augmentation transforms
Train samples: 2944
Val samples: 736
Test samples: 3669
/home/bzhao/Deep-Learning/Assignment2/.venv/lib/python3.12/site-packages/pytorch_lightning/callbacks/model_checkpoint.py:751: Checkpoint directory /home/bzhao/Deep-Learning/Assignment2/outputs/checkpoints exists and is not empty.
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
/home/bzhao/Deep-Learning/Assignment2/.venv/lib/python3.12/site-packages/pytorch_lightning/utilities/model_summary/model_summary.py:231: Precision 16-mixed is not supported by the model summary.  Estimated model size in MB will not be accurate. Using 32 bits instead.

  | Name      | Type                   | Params | Mode
-------------------------------------------------------------
0 | model     | UNetPlusPlus           | 148 M  | train
1 | criterion | HybridLoss             | 0      | train
2 | train_iou | MulticlassJaccardIndex | 0      | train
3 | val_iou   | MulticlassJaccardIndex | 0      | train
4 | val_dice  | MulticlassF1Score      | 0      | train
-------------------------------------------------------------
148 M     Trainable params
0         Non-trainable params
148 M     Total params
592.242   Total estimated model params size (MB)
238       Modules in train mode
0         Modules in eval mode
Epoch 34:  93%|█████████▎| 682/736 [03:26<00:16,  3.31it/s, v_num=ht8g, train_loss_step=0.272, val_loss=0.245, val_mIoU=0.776, val_Dice=0.864, train_loss_epoch=0.250, train_mIoU=0.782]
                                                                          
Metric val_loss improved. New best score: 0.461
Metric val_loss improved by 0.045 >= min_delta = 0.0. New best score: 0.415
Metric val_loss improved by 0.028 >= min_delta = 0.0. New best score: 0.387
Metric val_loss improved by 0.015 >= min_delta = 0.0. New best score: 0.372
Metric val_loss improved by 0.020 >= min_delta = 0.0. New best score: 0.352
Metric val_loss improved by 0.007 >= min_delta = 0.0. New best score: 0.345
Metric val_loss improved by 0.019 >= min_delta = 0.0. New best score: 0.325
Metric val_loss improved by 0.003 >= min_delta = 0.0. New best score: 0.322
Metric val_loss improved by 0.017 >= min_delta = 0.0. New best score: 0.305
Metric val_loss improved by 0.005 >= min_delta = 0.0. New best score: 0.300
Metric val_loss improved by 0.004 >= min_delta = 0.0. New best score: 0.296
Metric val_loss improved by 0.003 >= min_delta = 0.0. New best score: 0.293
Metric val_loss improved by 0.002 >= min_delta = 0.0. New best score: 0.291
Metric val_loss improved by 0.010 >= min_delta = 0.0. New best score: 0.281
Metric val_loss improved by 0.007 >= min_delta = 0.0. New best score: 0.274
Metric val_loss improved by 0.003 >= min_delta = 0.0. New best score: 0.270
Metric val_loss improved by 0.005 >= min_delta = 0.0. New best score: 0.266
Metric val_loss improved by 0.000 >= min_delta = 0.0. New best score: 0.265
Metric val_loss improved by 0.004 >= min_delta = 0.0. New best score: 0.261
Metric val_loss improved by 0.001 >= min_delta = 0.0. New best score: 0.260
Metric val_loss improved by 0.007 >= min_delta = 0.0. New best score: 0.254
Metric val_loss improved by 0.003 >= min_delta = 0.0. New best score: 0.251
Metric val_loss improved by 0.003 >= min_delta = 0.0. New best score: 0.248
Metric val_loss improved by 0.005 >= min_delta = 0.0. New best score: 0.243
